age,age_type,freq,cum_sum
44,wide_peak,0.008400067200537605,0.14946519572156577
45,wide_peak,0.008288066304530436,0.1577532620260962
46,wide_peak,0.010192081536652292,0.1679453435627485
47,wide_peak,0.009520076160609285,0.1774654197233578
48,wide_peak,0.011704093632749062,0.18916951335610688
49,wide_peak,0.013216105728845831,0.2023856190849527
50,wide_peak,0.014336114688917512,0.21672173377387022
51,wide_peak,0.0161281290250322,0.2328498627989024
52,wide_peak,0.01736013888111105,0.25021000168001345
53,wide_peak,0.0199921599372795,0.27020216161729294
54,wide_peak,0.02016016128129025,0.2903623228985832
55,wide_peak,0.02072016576132609,0.3110824886599093
56,wide_peak,0.024640197121576973,0.33572268578148623
57,wide_peak,0.025144201153609227,0.36086688693509544
58,wide_peak,0.021616172929383434,0.3824830598644789
59,wide_peak,0.024976199809598476,0.40745925967407737
