min_age,max_age,ward_type,freq,los_mean,los_sd
64,64,triangle,0.0215730337078652,4.26396313048614,1.24640740550733
65,65,triangle,0.0202247191011236,4.30325176406838,1.21370536528751
66,66,triangle,0.0229712858926342,4.23691820861782,1.2529925812526
67,67,triangle,0.0197253433208489,4.16904418687834,1.33844687261807
68,68,triangle,0.0213233458177278,4.319362316317,1.18616797930305
69,69,triangle,0.0216729088639201,4.27279080435484,1.16749225421801
70,70,triangle,0.022521847690387,4.28641161958248,1.29945883434802
71,71,triangle,0.02187265917603,4.23196774566882,1.21078964470933
72,72,triangle,0.0187765293383271,4.24320459577511,1.26750421877345
73,73,triangle,0.0135830212234707,4.20706665914914,1.31744920286509
74,74,triangle,0.0160299625468165,4.26917957846901,1.22323841131179
75,75,triangle,0.0200249687890137,4.185984083400929,1.2773448970446
76,76,triangle,0.0180774032459426,4.2589632150056,1.27091156647991
77,77,triangle,0.0214232209737828,4.220326371826969,1.33755948406987
78,78,triangle,0.0234706616729089,4.33226071840084,1.28756781723901
79,79,triangle,0.0240699126092385,4.18290636184832,1.36103363091598
80,80,triangle,0.0195255930087391,4.31660632834327,1.13881807523659
81,81,triangle,0.0163295880149813,4.30085831513364,1.20367554014356
82,82,triangle,0.0179775280898876,4.35323480492786,1.2325416114048
83,83,triangle,0.0162796504369538,4.35209868926452,1.24150570392156
84,84,triangle,0.015980024968789,4.33155089311582,1.16749572563141
85,85,triangle,0.0106866416978776,4.209082935452569,1.10228044040184
86,86,triangle,0.0103370786516854,4.2231224961688,1.30227907307592
87,87,triangle,0.0074406991260923,4.20452866218617,1.37927798445472
88,88,triangle,0.0069413233458177,4.38138846411739,1.21339280945077
89,89,triangle,0.005692883895131,4.36503474019476,1.1837392068809
90,90,triangle,0.0033458177278402,4.24627236841955,1.04581629954471
91,91,triangle,0.0033957553058676,4.375017388297129,1.13354434752347
92,93,triangle,0.00354556803995,4.16085293844691,1.19707964824915
94,101,triangle,0.0043945068664169,4.26648089962512,1.28899777996504
8,17,midduration,0.0068623024830699,3.57453296090878,1.1171841873283
18,18,midduration,0.0076749435665914,3.59770524719633,1.29467892464115
19,19,midduration,0.008216704288939,3.73699712665211,0.8282612754916219
20,20,midduration,0.0102031602708804,3.72990714553038,1.0018572427362
21,21,midduration,0.0074943566591422,3.8072675173348305,0.945019790734694
22,22,midduration,0.0100225733634311,3.62204387716866,1.17578056310747
23,23,midduration,0.0099322799097065,3.6195006759440305,1.03624406087684
